Country,"Price level 2015
(US = 100)[19]","Price level 2024
(US = 100)[20]"
Australia,123,96
Austria,99,82
Belgium,101,84
Canada,105,90
Chile,67,52
Colombia,*No Data,44
Costa rica,*No Data,67
Czech Republic,59,63
Denmark,128,105
Estonia,71,74
Finland,113,92
France,100,80
Germany,94,80
Greece,78,63
Hungary,52,55
Iceland,111,119
Ireland,109,104
Israel,109,105
Italy,94,73
Japan,96,69
South Korea,84,69
Latvia,No Data,64
Lithuania,No Data,59
Luxembourg,112,98
Mexico,66,65
Netherlands,102,84
New Zealand,118,93
Norway,134,92
Poland,51,51
Portugal,73,64
Slovakia,63,66
Slovenia,75,66
Spain,84,69
Sweden,109,87
Switzerland,162,127
,,
